Time(s),CO%,Ar MFC (sccm),CO2 MFC (sscm),Temprature (°C)
0.0744708999991417,0.04,0.0,0.0,28.1
1.0049495999701321,0.04,0.0,0.0,28.1
2.0026059999945574,0.03,0.0,0.0,28.1
3.0040350999915972,0.04,0.0,0.0,28.1
4.004717699950561,0.04,0.0,0.0,28.1
5.002760599949397,0.03,0.0,0.0,28.1
6.005001799960155,0.03,0.0,0.0,28.1
7.003102599992417,0.03,0.0,0.0,28.1
8.004280999943148,0.03,0.0,0.0,28.1
9.001692399964668,0.03,0.0,0.0,28.1
10.018491199996788,0.03,0.0,0.0,28.1
11.001400099950843,0.03,0.0,0.0,28.1
12.00146549998317,0.03,0.0,0.0,28.1
13.002533699967898,0.03,0.0,0.0,28.1
14.005034099973273,0.03,0.0,0.0,28.1
15.000939499994274,0.03,0.0,0.0,28.1
16.00418249994982,0.03,0.0,0.0,28.1
17.00320679997094,0.03,0.0,0.0,28.1
18.00354539998807,0.03,0.0,0.0,28.1
19.00213049998274,0.04,0.0,0.0,28.1
20.002713299996685,0.03,0.0,0.0,28.1
21.02011779998429,0.04,0.0,0.0,28.1
22.002023499982897,0.04,0.0,0.0,28.1
23.00205279997317,0.04,0.0,0.0,28.1
24.005201299965847,0.04,0.0,0.0,28.1
25.001234699971974,0.03,0.0,0.0,28.1
26.002312699973118,0.04,0.0,0.0,28.1
27.004649099952076,0.03,0.0,0.0,28.1
28.001196899975184,0.04,0.0,0.0,28.1
29.00317289994564,0.04,0.0,0.0,28.1
30.00214599998435,0.03,0.0,0.0,28.1
31.002654899959452,0.03,0.0,0.0,28.1
32.00242339994293,0.03,0.0,0.0,28.1
33.01015109999571,0.03,0.0,0.0,28.1
34.00237079994986,0.03,0.0,0.0,28.1
35.002491599996574,0.03,0.0,0.0,28.1
36.00168779998785,0.03,0.0,0.0,28.1
37.00255049997941,0.03,0.0,0.0,28.1
38.001931399980094,0.02,0.0,0.0,28.1
39.00422969995998,0.03,0.0,0.0,28.1
40.00476019998314,0.02,0.0,0.0,28.1
41.0036218999885,0.02,0.0,0.0,28.1
42.00227379996795,0.02,0.0,0.0,28.1
43.00634299998637,0.02,0.0,0.0,28.1
44.00855629995931,0.02,0.0,0.0,28.1
45.00474039994879,0.02,0.0,0.0,28.1
46.00637099996675,0.02,0.0,0.0,28.1
47.00352929998189,0.02,0.0,0.0,28.1
48.00125009997282,0.02,0.0,0.0,28.1
49.00213639996946,0.02,0.0,0.0,28.1
50.002669899957255,0.02,0.0,0.0,28.1
51.00727789994562,0.02,0.0,0.0,28.1
52.00297709996812,0.02,0.0,0.0,28.1
53.0061136999866,0.02,0.0,0.0,28.1
54.00178499997128,0.02,0.0,0.0,28.1
55.004282199952286,0.03,0.0,0.0,28.1
56.0062810999807,0.03,0.0,0.0,28.1
57.0044047999545,0.03,0.0,0.0,28.1
58.002429499989375,0.03,0.0,0.0,28.1
59.00353129999712,0.02,0.0,0.0,28.1
60.00310799997533,0.02,0.0,0.0,28.1
61.003512599971145,0.02,0.0,0.0,28.1
62.004636199970264,0.02,0.0,0.0,28.1
63.0017600999563,0.02,0.0,0.0,28.1
64.00169279996771,0.02,0.0,0.0,28.1
65.00154799997108,0.02,0.0,0.0,28.1
66.00157929997658,0.02,0.0,0.0,28.1
67.00253149995115,0.02,0.0,0.0,28.1
68.00874879996991,0.02,0.0,0.0,28.1
69.00089369999478,0.03,0.0,0.0,28.1
70.00406049995217,0.03,0.0,0.0,28.1
71.00159770000027,0.03,0.0,0.0,28.1
72.00308429996949,0.03,0.0,0.0,28.1
73.00227040000027,0.02,0.0,0.0,28.1
74.00076649995754,0.02,0.0,0.0,28.1
75.00144199997885,0.02,0.0,0.0,28.1
76.00256429996807,0.03,0.0,0.0,28.1
77.00156609999249,0.03,0.0,0.0,28.1
78.00132649997249,0.03,0.0,0.0,28.0
79.00439759995788,0.03,0.0,0.0,28.0
80.01527149998583,0.03,0.0,0.0,28.0
81.00157219998073,0.03,0.0,0.0,28.0
82.00302359997295,0.03,0.0,0.0,28.0
83.00365989998681,0.03,0.0,0.0,28.1
84.00191179994727,0.03,0.0,0.0,28.1
85.00245759997051,0.03,0.0,0.0,28.1
86.00287559995195,0.03,0.0,0.0,28.1
87.00526929995976,0.03,0.0,0.0,28.1
88.00152709998656,0.03,0.0,0.0,28.1
89.00181329995394,0.03,0.0,0.0,28.1
90.0024037999683,0.02,0.0,0.0,28.1
91.00408669997705,0.02,0.0,0.0,28.1
92.00440709997201,0.02,0.0,0.0,28.1
93.00121789996047,0.02,0.0,0.0,28.1
94.0084613999934,0.02,0.0,0.0,28.1
95.00504059996456,0.02,0.0,0.0,28.1
96.0060422999668,0.02,0.0,0.0,28.1
97.0016459999606,0.02,0.0,0.0,28.1
98.00418910000008,0.02,0.0,0.0,28.1
99.00106469995808,0.02,0.0,0.0,28.1
100.00788939994527,0.02,0.0,0.0,28.1
101.00277579994872,0.02,0.0,0.0,28.1
102.00916519999737,0.03,0.0,0.0,28.1
103.0014824999962,0.03,0.0,0.0,28.1
104.02471259998856,0.03,0.0,0.0,28.1
105.00361889996566,0.03,0.0,0.0,28.1
106.00111739995191,0.02,0.0,0.0,28.1
107.00414649996674,0.02,0.0,0.0,28.1
108.002617799968,0.02,0.0,0.0,28.1
109.00160859996686,0.02,0.0,0.0,28.1
110.00299469998572,0.03,0.0,0.0,28.1
111.00360879994696,0.02,0.0,0.0,28.1
112.00436239998089,0.02,0.0,0.0,28.0
113.00139469996793,0.02,0.0,0.0,28.0
114.00305780000053,0.02,0.0,0.0,28.0
115.02283329999773,0.02,0.0,0.0,28.0
116.00274079997325,0.02,0.0,0.0,28.0
117.00107609998668,0.02,0.0,0.0,28.0
118.00150419998681,0.03,0.0,0.0,28.0
119.00157929997658,0.03,0.0,0.0,28.0
120.00313279998954,0.03,0.0,0.0,28.0
121.00195929995971,0.03,0.0,0.0,28.0
122.0043497000006,0.03,0.0,0.0,28.0
123.00189839996165,0.03,0.0,0.0,28.0
124.00157599995146,0.03,0.0,0.0,28.0
125.00497239996912,0.03,0.0,0.0,28.0
126.01615129999118,0.03,0.0,0.0,28.0
127.00284109998029,0.03,0.0,0.0,28.0
128.00334389996715,0.03,0.0,0.0,28.0
129.00127149996115,0.02,0.0,0.0,28.0
130.00463859998854,0.03,0.0,0.0,28.0
131.00536169996485,0.03,0.0,0.0,28.0
132.0045074999798,0.03,0.0,0.0,28.0
133.002182599972,0.03,0.0,0.0,28.0
134.00314469996374,0.03,0.0,0.0,28.0
135.00172549998388,0.03,0.0,0.0,28.0
136.00254499999573,0.03,0.0,0.0,28.0
137.00689449999481,0.03,0.0,0.0,28.0
138.00230969995027,0.03,0.0,0.0,28.0
139.00227099994663,0.03,0.0,0.0,28.0
140.00153819995467,0.02,0.0,0.0,28.0
141.00210049998714,0.02,0.0,0.0,28.0
142.00605089997407,0.03,0.0,0.0,28.0
143.0017709999811,0.02,0.0,0.0,28.0
144.00310719996924,0.02,0.0,0.0,28.0
145.0039931999636,0.02,0.0,0.0,28.0
146.00569489999907,0.02,0.0,0.0,28.0
147.00207099999534,0.03,0.0,0.0,28.0
148.0065299999551,0.03,0.0,0.0,28.0
149.0074825999909,0.02,0.0,0.0,28.0
150.00096859998303,0.02,0.0,0.0,28.0
151.001605599944,0.03,0.0,0.0,28.0
152.0047998999944,0.02,0.0,0.0,28.0
153.00182179996045,0.03,0.0,0.0,28.0
154.0068802999449,0.03,0.0,0.0,28.0
155.00197969999863,0.03,0.0,0.0,28.0
156.00320569996256,0.03,0.0,0.0,28.0
157.0044347999501,0.03,0.0,0.0,28.0
158.0041845999658,0.03,0.0,0.0,28.0
159.0062745999894,0.04,0.0,0.0,28.0
160.00329269998474,0.04,0.0,0.0,28.0
161.00172499998007,0.03,0.0,0.0,28.0
162.00337539997417,0.03,0.0,0.0,28.0
163.00208729994483,0.03,0.0,0.0,28.0
164.00168289995054,0.03,0.0,0.0,28.0
165.00152809999418,0.03,0.0,0.0,28.0
166.00460389995715,0.04,0.0,0.0,28.0
167.00605169998016,0.04,0.0,0.0,28.0
168.00146189995576,0.04,0.0,0.0,28.0
169.00115239998559,0.04,0.0,0.0,28.0
170.00139209994813,0.04,0.0,0.0,28.0
171.00358289998258,0.04,0.0,0.0,28.0
172.01011109998217,0.04,0.0,0.0,28.0
173.0037170999567,0.04,0.0,0.0,28.0
174.00222779996693,0.04,0.0,0.0,28.0
175.00115449994337,0.04,0.0,0.0,28.0
176.0023703999468,0.04,0.0,0.0,28.0
177.0018446999602,0.04,0.0,0.0,28.0
178.0025077999453,0.04,0.0,0.0,28.0
179.00342199997976,0.04,0.0,0.0,28.0
180.00381529994775,0.04,0.0,0.0,28.0
181.0028107999824,0.04,0.0,0.0,28.0
182.00147919997107,0.04,0.0,0.0,28.0
183.00139979994856,0.04,0.0,0.0,28.0
184.0077969999984,0.04,0.0,0.0,28.0
185.00279819994466,0.04,0.0,0.0,28.0
186.0028159999638,0.04,0.0,0.0,28.0
187.00223699997878,0.04,0.0,0.0,28.0
188.00359409995144,0.04,0.0,0.0,28.0
189.0017781999777,0.04,0.0,0.0,28.0
190.00141619995702,0.04,0.0,0.0,28.0
191.00310039997566,0.04,0.0,0.0,28.0
192.00378189998446,0.05,0.0,0.0,28.0
193.00557649997063,0.05,0.0,0.0,28.0
194.00568849995034,0.05,0.0,0.0,28.0
195.02003149996744,0.05,0.0,0.0,28.0
196.00181849999353,0.04,0.0,0.0,28.0
197.00258289999329,0.04,0.0,0.0,28.0
198.00320139998803,0.05,0.0,0.0,28.0
199.00298909994308,0.05,0.0,0.0,28.0
200.00181239994708,0.05,0.0,0.0,28.0
201.00466519995825,0.04,0.0,0.0,28.0
202.0018729000003,0.04,0.0,0.0,28.0
203.00435779994586,0.03,0.0,0.0,28.0
204.00585379998665,0.03,0.0,0.0,28.0
205.00274189998163,0.03,0.0,0.0,28.0
206.00177169998642,0.03,0.0,0.0,28.0
207.00089729996398,0.03,0.0,0.0,28.0
208.0016943999799,0.03,0.0,0.0,28.0
209.00213349994738,0.03,0.0,0.0,28.0
210.00194879999617,0.03,0.0,0.0,28.0
211.00145809998503,0.03,0.0,0.0,28.0
212.00109899998643,0.03,0.0,0.0,28.0
213.00411979999626,0.03,0.0,0.0,28.0
214.00207299995236,0.03,0.0,0.0,28.0
215.00284899998223,0.03,0.0,0.0,28.0
216.00153889996,0.04,0.0,0.0,28.0
217.00100379996002,0.03,0.0,0.0,28.0
218.00904989999253,0.03,0.0,0.0,27.9
219.00185000000056,0.03,0.0,0.0,27.9
220.0029442999512,0.03,0.0,0.0,27.9
221.00550729996758,0.03,0.0,0.0,27.9
222.00223959999857,0.03,0.0,0.0,27.9
223.00136999995448,0.04,0.0,0.0,27.9
224.0028570999857,0.04,0.0,0.0,27.9
225.0059351999662,0.04,0.0,0.0,27.9
226.00205369998002,0.03,0.0,0.0,27.9
227.0032381999772,0.04,0.0,0.0,27.9
228.00271329999669,0.04,0.0,0.0,27.9
229.00253399997018,0.04,0.0,0.0,27.9
230.0047426999663,0.04,0.0,0.0,27.9
231.0012974999845,0.04,0.0,0.0,27.9
232.00103709998075,0.04,0.0,0.0,27.9
233.00134789996082,0.04,0.0,0.0,27.9
234.00293709995458,0.04,0.0,0.0,27.9
235.00213739997707,0.03,0.0,0.0,27.9
236.00296209997032,0.03,0.0,0.0,27.9
237.00163059995975,0.04,0.0,0.0,27.9
238.00188939995132,0.04,0.0,0.0,27.9
239.00544269999955,0.04,0.0,0.0,27.9
240.00538059999235,0.04,0.0,0.0,27.9
241.0025243999553,0.04,0.0,0.0,27.9
242.00293199997395,0.04,0.0,0.0,27.9
243.00371159997303,0.04,0.0,0.0,27.9
244.001999399974,0.04,0.0,0.0,27.9
245.0034622999956,0.04,0.0,0.0,27.9
246.00375119998353,0.04,0.0,0.0,27.9
247.00210849998984,0.04,0.0,0.0,27.9
248.00121319998289,0.04,0.0,0.0,27.9
249.00190259999363,0.04,0.0,0.0,27.9
250.00263369997265,0.04,0.0,0.0,27.9
251.0021207999671,0.05,0.0,0.0,27.9
252.0057568999473,0.04,0.0,0.0,27.9
253.00497469998663,0.05,0.0,0.0,27.9
254.00296389998402,0.04,0.0,0.0,27.9
255.00186509999912,0.05,0.0,0.0,27.9
256.00216099998215,0.04,0.0,0.0,28.0
257.00234109995654,0.04,0.0,0.0,28.0
258.0016808999935,0.04,0.0,0.0,28.0
259.00220989994705,0.04,0.0,0.0,28.0
260.00227919995086,0.04,0.0,0.0,28.0
261.0038251999649,0.04,0.0,0.0,28.0
262.00201169995125,0.04,0.0,0.0,28.0
263.00212349998765,0.04,0.0,0.0,28.0
264.0081943999976,0.04,0.0,0.0,28.0
265.00181459996384,0.04,0.0,0.0,28.0
266.00592549995054,0.04,0.0,0.0,28.0
267.00213069998426,0.04,0.0,0.0,28.0
268.0016268999898,0.04,0.0,0.0,28.0
269.00167999998666,0.03,0.0,0.0,28.0
270.0061004999443,0.03,0.0,0.0,28.0
271.0028140999493,0.03,0.0,0.0,28.0
272.0023794999579,0.03,0.0,0.0,28.0
273.0014958999818,0.03,0.0,0.0,28.0
274.0039485999732,0.03,0.0,0.0,28.0
275.00199669995345,0.03,0.0,0.0,28.0
276.0016919999616,0.03,0.0,0.0,28.0
277.0045910999761,0.02,0.0,0.0,28.0
278.00168159999885,0.02,0.0,0.0,28.0
279.0021494999528,0.02,0.0,0.0,28.0
280.0024702999508,0.02,0.0,0.0,28.0
281.00293789996067,0.02,0.0,0.0,28.0
282.0045468999888,0.02,0.0,0.0,28.0
283.0021549999947,0.02,0.0,0.0,28.0
284.0101083999616,0.02,0.0,0.0,28.0
285.0037837999989,0.02,0.0,0.0,28.0
286.0099880999769,0.02,0.0,0.0,28.0
287.00747289997526,0.02,0.0,0.0,28.0
288.00626049999846,0.02,0.0,0.0,28.0
289.00522479997016,0.02,0.0,0.0,28.0
290.0104545999784,0.02,0.0,0.0,28.0
291.003630399995,0.02,0.0,0.0,28.0
292.0059358999715,0.03,0.0,0.0,28.0
293.00258349999785,0.03,0.0,0.0,28.0
294.0049477999564,0.02,0.0,0.0,28.0
295.00542769994354,0.02,0.0,0.0,28.0
