Time(s),CO%,Ar MFC (sccm),CO2 MFC (sscm),Temprature (°C)
0.081723699986469,0.01,99.96463012695312,49.87043380737305,28.0
1.005337700014934,0.01,99.99061584472656,49.97783660888672,28.0
2.003383799979929,0.02,99.84647369384766,49.85299301147461,28.0
3.0065173999755643,0.01,100.03237915039062,49.90810775756836,28.0
4.002690699999221,0.01,99.99932098388672,49.912628173828125,28.0
5.006270500016399,0.01,100.05879211425781,49.93587112426758,28.0
6.00083709997125,0.01,99.9132080078125,49.91173553466797,28.0
7.002307599992491,0.02,99.96934509277344,49.981380462646484,28.0
8.002274599974044,0.02,100.03174591064453,49.8387565612793,28.0
9.005343299999367,0.02,0.0,0.0,28.0
10.007215299992822,0.02,0.0,0.0,28.0
11.003599999996368,0.02,0.0,0.0,28.0
12.00540359999286,0.02,0.0,0.0,28.0
13.002242100017611,0.02,0.0,0.0,28.0
14.00147640000796,0.02,0.0,0.0,28.0
15.001720600004774,0.02,0.0,0.0,28.0
16.00517379998928,0.01,0.0,0.0,28.0
17.001599300012458,0.02,0.0,0.0,28.0
18.001858000003267,0.01,0.0,0.0,28.0
19.017891499970574,0.01,0.0,0.0,28.0
20.002716200018767,0.01,58.44287872314453,0.0,28.0
21.001553800015245,0.01,119.73188781738281,0.0,28.0
22.001500400016084,0.01,119.27690124511719,0.0,28.0
23.001584800018463,0.01,119.36141967773438,0.0,28.0
24.00470689998474,0.01,119.65017700195312,0.0,28.0
25.00497299997369,0.01,119.5726318359375,0.0,28.0
26.005964100011624,0.01,119.82261657714844,0.0,28.0
27.004692499991506,0.01,119.70883178710938,0.0,28.0
28.003264200000558,0.01,119.82915496826172,0.0,28.0
29.002650299982633,0.01,119.8147201538086,0.0,28.0
30.013090799970087,0.02,119.8629379272461,0.0,28.0
31.00155819999054,0.02,119.81360626220703,0.0,28.0
32.00253330002306,0.02,119.93663024902344,0.0,28.0
33.001825999992434,0.02,119.7916030883789,0.0,28.0
34.003137499967124,0.02,119.96266174316406,0.0,28.0
35.004330099967774,0.02,119.88578796386719,0.0,28.0
36.00266629998805,0.02,119.89012908935547,0.0,28.0
37.00118219997967,0.03,119.85426330566406,0.0,28.0
38.00443709996762,0.03,119.92671203613281,0.0,28.0
39.00053249998018,0.03,119.91767120361328,0.0,28.0
40.00373509997735,0.03,120.0184555053711,0.0,28.0
41.0042056000093,0.03,119.87873077392578,0.0,28.0
42.00180620001629,0.03,119.9212646484375,0.0,28.0
43.00259200000437,0.03,119.90560913085938,0.0,28.0
44.00373070000205,0.02,119.97438049316406,0.0,28.0
45.00153660000069,0.02,119.94706726074219,0.0,28.0
46.0025067999959,0.03,119.98424530029297,0.0,28.0
47.000690300017595,0.02,119.89856719970703,0.0,28.0
48.00645819999045,0.02,119.98853302001953,0.0,28.0
49.00585209997371,0.02,119.95579528808594,0.0,28.0
50.005091800005175,0.02,119.97505950927734,0.0,28.0
51.0038117999793,0.02,119.97420501708984,0.0,28.0
52.00253709999379,0.02,119.9834213256836,0.0,28.0
53.00641189998714,0.02,119.90145874023438,0.0,28.0
54.00112089997856,0.02,119.94296264648438,0.0,28.0
55.0062453999999,0.02,119.91897583007812,0.0,28.0
56.00056570000015,0.01,119.97528839111328,0.0,28.0
57.001495699980296,0.01,119.90460968017578,0.0,28.0
58.001374099985696,0.01,119.98700714111328,0.0,28.0
59.005077700014226,0.01,119.9366683959961,0.0,28.0
60.00123729999177,0.01,120.00616455078125,0.0,28.0
61.00633080000989,0.01,119.90302276611328,0.0,28.0
62.005855399998836,0.02,120.00786590576172,0.0,28.0
63.00227160000941,0.01,119.88662719726562,0.0,28.0
64.00305190001382,0.01,119.98501586914062,0.0,28.0
65.00220370001625,0.01,119.9365005493164,0.0,28.0
66.00141580001218,0.02,120.03658294677734,0.0,28.0
67.00308669998776,0.02,119.89796447753906,0.0,28.0
68.00096500001382,0.02,119.96893310546875,0.0,28.0
69.00160780001897,0.02,120.01317596435547,0.0,28.0
